fips,state,year,month,population,unemployment,date,code,minwage,fedminwage,cpi,change,gdp
21,kentucky,1976,4,2475000.0,5.6,1976-04-01,KY,7.27,10.0,56.9,4.14,
22,louisiana,1976,4,2692000.0,6.4,1976-04-01,LA,0.0,10.0,56.9,0.0,
23,maine,1976,4,769000.0,8.6,1976-04-01,ME,10.46,10.0,56.9,3.73,
24,maryland,1976,4,2966000.0,6.4,1976-04-01,MD,10.0,10.0,56.9,2.31,
25,massachusetts,1976,4,4204000.0,10.3,1976-04-01,MA,9.55,10.0,56.9,1.1400000000000006,
26,michigan,1976,4,6436000.0,9.8,1976-04-01,MI,10.0,10.0,56.9,2.31,
27,minnesota,1976,4,2802000.0,5.8,1976-04-01,MN,8.18,10.0,56.9,4.57,
28,mississippi,1976,4,1650000.0,6.4,1976-04-01,MS,0.0,10.0,56.9,0.0,
29,missouri,1976,4,3477000.0,6.0,1976-04-01,MO,0.0,10.0,56.9,0.0,
30,montana,1976,4,534000.0,5.8,1976-04-01,MT,8.18,10.0,56.9,0.4899999999999993,
31,nebraska,1976,4,1098000.0,3.2,1976-04-01,NE,7.27,10.0,56.9,2.46,
32,nevada,1976,4,458000.0,9.0,1976-04-01,NV,10.0,10.0,56.9,2.31,
33,new hampshire,1976,4,598000.0,6.5,1976-04-01,NH,10.0,10.0,56.9,2.31,
34,new jersey,1976,4,5372000.0,10.3,1976-04-01,NJ,10.0,10.0,56.9,2.79,
35,new mexico,1976,4,801000.0,8.6,1976-04-01,NM,9.09,10.0,56.9,2.84,
36,new york,1976,4,13213000.0,10.2,1976-04-01,NY,10.46,10.0,56.9,1.5700000000000005,
51000,new york city,1976,4,5689000.0,11.1,1976-04-01,,,,,,
37,north carolina,1976,4,3919000.0,6.3,1976-04-01,NC,9.09,10.0,56.9,2.12,
38,north dakota,1976,4,444000.0,3.5,1976-04-01,ND,9.09,10.0,56.9,4.28,
39,ohio,1976,4,7716000.0,8.0,1976-04-01,OH,7.27,10.0,56.9,3.66,
40,oklahoma,1976,4,2011000.0,5.8,1976-04-01,OK,8.18,10.0,56.9,1.4499999999999993,
41,oregon,1976,4,1728000.0,9.2,1976-04-01,OR,10.46,10.0,56.9,4.450000000000001,
42,pennsylvania,1976,4,8792000.0,8.1,1976-04-01,PA,10.0,10.0,56.9,2.31,
44,rhode island,1976,4,693000.0,7.7,1976-04-01,RI,10.46,10.0,56.9,2.7700000000000005,
45,south carolina,1976,4,1996000.0,7.2,1976-04-01,SC,0.0,10.0,56.9,0.0,
46,south dakota,1976,4,479000.0,3.1,1976-04-01,SD,9.09,10.0,56.9,4.28,
47,tennessee,1976,4,3097000.0,6.0,1976-04-01,TN,0.0,10.0,56.9,0.0,
48,texas,1976,4,8896000.0,5.9,1976-04-01,TX,6.36,10.0,56.9,-0.3700000000000001,
49,utah,1976,4,830000.0,5.8,1976-04-01,UT,7.05,10.0,56.9,1.2800000000000002,
50,vermont,1976,4,341000.0,8.6,1976-04-01,VT,10.46,10.0,56.9,2.7700000000000005,
51,virginia,1976,4,3559000.0,6.0,1976-04-01,VA,9.09,10.0,56.9,9.09,
53,washington,1976,4,2617000.0,8.5,1976-04-01,WA,10.0,10.0,56.9,2.31,
54,west virginia,1976,4,1360000.0,7.5,1976-04-01,WV,9.09,10.0,56.9,3.3200000000000003,
55,wisconsin,1976,4,3256000.0,5.6,1976-04-01,WI,9.55,10.0,56.9,2.580000000000001,
56,wyoming,1976,4,273000.0,4.0,1976-04-01,WY,7.27,10.0,56.9,0.0599999999999996,
1,alabama,1976,5,2626000.0,6.4,1976-05-01,AL,0.0,10.0,56.9,0.0,
2,alaska,1976,5,239000.0,6.9,1976-05-01,AK,12.73,10.0,56.9,2.630000000000001,
4,arizona,1976,5,1642000.0,9.8,1976-05-01,AZ,0.0,10.0,56.9,-2.25,
5,arkansas,1976,5,1542000.0,7.1,1976-05-01,AR,8.64,10.0,56.9,2.870000000000001,
6,california,1976,5,15768000.0,9.0,1976-05-01,CA,9.09,10.0,56.9,1.16,
37,los angeles county,1976,5,5311000.0,8.7,1976-05-01,,,,,,
8,colorado,1976,5,1850000.0,5.6,1976-05-01,CO,4.55,10.0,56.9,-0.2599999999999998,
9,connecticut,1976,5,2257000.0,9.4,1976-05-01,CT,10.05,10.0,56.9,1.16,
10,delaware,1976,5,420000.0,8.3,1976-05-01,DE,9.09,10.0,56.9,1.3999999999999997,
11,district of columbia,1976,5,518000.0,8.4,1976-05-01,DC,10.23,10.0,56.9,2.54,
12,florida,1976,5,6483000.0,9.3,1976-05-01,FL,0.0,10.0,56.9,0.0,
13,georgia,1976,5,3547000.0,8.1,1976-05-01,GA,5.68,10.0,56.9,-0.33,
15,hawaii,1976,5,590000.0,9.4,1976-05-01,HI,10.91,10.0,56.9,3.22,
16,idaho,1976,5,587000.0,5.6,1976-05-01,ID,7.27,10.0,56.9,0.5399999999999991,
