county_fips,year,d_votes,r_votes
30013,2008,49.90394394846875,47.62402531359476
30013,2012,44.06897349843768,53.075454229834506
30013,2016,35.21737872783547,56.787480836539295
30013,2020,38.7514103046258,58.455559734235926
30015,2000,23.778162911611787,70.67590987868284
30015,2004,32.386169120164325,65.491270112975
30015,2008,39.148639218422886,57.013258897418005
30015,2012,34.66855724920241,62.31832683445586
30015,2016,28.121398386477143,64.50249711870917
30015,2020,33.42327150084317,63.77740303541315
30017,2000,30.601427115188585,64.34250764525994
30017,2004,32.29001584786054,65.31299524564183
30017,2008,41.353520612915,55.58190441444728
30017,2012,34.165890027958994,62.87045666356011
30017,2016,22.680810028929603,70.53037608486017
30017,2020,25.83617747440273,71.75767918088737
30019,2000,27.297297297297295,67.56756756756756
30019,2004,29.1331546023235,68.27524575513851
30019,2008,31.966449207828518,64.6784715750233
30019,2012,23.53525322740814,73.48560079443894
30019,2016,17.463617463617464,75.88357588357589
30019,2020,19.230769230769234,78.79684418145956
30021,2000,31.936314680402717,63.755560758604545
30021,2004,33.31846565566459,64.31757359500446
30021,2008,35.79775280898876,59.30337078651685
30021,2012,27.5604793126837,68.48293013791545
30021,2016,17.99268404206676,75.90306355738454
30021,2020,19.93782383419689,77.88601036269431
30023,2000,58.932509925011026,32.92898103220115
30023,2004,59.432093330398416,37.970504072198985
30023,2008,67.04769412692157,29.601891998423334
30023,2012,64.12556053811659,32.46636771300449
30023,2016,48.93009985734665,41.91631003328578
30023,2020,52.38192598650583,44.694336536495605
30025,2000,18.699780861943026,77.5018261504748
30025,2004,19.38296445338699,79.0073775989269
30025,2008,20.66276803118908,69.1358024691358
30025,2012,16.86832740213523,80.2846975088968
30025,2016,10.377358490566039,86.18598382749326
30025,2020,10.920634920634921,87.3015873015873
30027,2000,22.555889222555887,72.62262262262263
30027,2004,25.82014036233067,72.22131548881998
30027,2008,31.017329910141207,65.91784338896021
30027,2012,27.013671553286112,70.12024378191401
30027,2016,20.58219178082192,73.09931506849315
30027,2020,22.990625480252035,74.8271092669433
30029,2000,24.613611513342594,66.54747480717515
30029,2004,29.95759863488288,67.27079993794922
30029,2008,36.89191660570593,58.42858449158742
30029,2012,31.953261569601622,65.11408593246848
30029,2016,28.54351420411844,64.93311288140688
30029,2020,33.82608115323011,63.9365323011212
30031,2000,31.239076154806494,58.779650436953816
30031,2004,41.1761752968048,56.2034085489822
30031,2008,50.250160891859906,46.87246984575142
30031,2012,45.864834384528635,50.870890940228065
30031,2016,45.05100429216448,44.226016834203534
30031,2020,52.190084391157946,44.65546147452063
30033,2000,8.198924731182796,87.5
30033,2004,7.938931297709924,90.07633587786259
30033,2008,15.130674002751032,82.25584594222833
30033,2012,9.428571428571429,88.85714285714286
30033,2016,4.735376044568245,90.94707520891365
30033,2020,5.043050430504305,93.9729397293973
30035,2000,53.612997090203685,41.440349175557714
30035,2004,57.89127575624726,40.07014467338886
30035,2008,68.85938442969221,29.1892979279823
30035,2012,65.67834681042228,31.783468104222823
30035,2016,61.497536945812804,31.92118226600985
30035,2020,64.26918283781377,33.54103614028841
30037,2000,16.57250470809793,76.27118644067797
30037,2004,22.796934865900383,75.86206896551724
30037,2008,25.203252032520325,69.71544715447155
30037,2012,22.964509394572026,73.2776617954071
30037,2016,14.978902953586498,77.0042194092827
30037,2020,15.50695825049702,82.30616302186878
30039,2000,18.553459119496853,74.27672955974842
30039,2004,25.171339563862926,71.27725856697819
30039,2008,34.9825378346915,58.9639115250291
30039,2012,31.26099706744868,64.9266862170088
30039,2016,26.561620709060215,67.0793472144063
30039,2020,30.352045670789725,67.5071360608944
30041,2000,42.086001829826166,51.72308630680086
30041,2004,45.02027940513745,52.651344449451706
30041,2008,53.98588800480408,41.84056447980783
30041,2012,49.89736070381232,46.39296187683284
30041,2016,36.78820791311094,53.96431342125679
30041,2020,41.50654413812308,55.09607351712616
30043,2000,29.304667828781717,64.07127638969591
30043,2004,32.055214723926376,65.50783912747103
30043,2008,40.71912947484624,55.79561583346475
30043,2012,34.84662576687116,62.193251533742334
30043,2016,29.75871313672922,62.21328567173071
30043,2020,32.20463746779536,65.57477610109189
30045,2000,19.94261119081779,75.82496413199426
30045,2004,25.038880248833596,73.40590979782272
30045,2008,32.11974110032362,64.80582524271846
30045,2012,27.73662551440329,70.2880658436214
30045,2016,19.453642384105958,72.18543046357617
30045,2020,20.461309523809522,77.38095238095238
30047,2000,33.92732354996506,56.26310272536688
30047,2004,39.44020356234097,57.60973282442748
30047,2008,48.60981392341404,46.68438824628206
30047,2012,43.63349368610944,53.63048707155743
30047,2016,36.23397314316061,57.127683787269554
30047,2020,41.597497894863466,56.06880789125466
30049,2000,36.605669441490335,55.34122996809564
30049,2004,42.61443602975672,55.271094430668185
30049,2008,51.188945054287686,44.76415517602369
30049,2012,46.88156552013926,50.43219881145327
30049,2016,41.991994895295555,49.002262312199086
30049,2020,46.712409795338935,50.654205607476634
30051,2000,23.275862068965516,72.03065134099617
30051,2004,27.202323330106488,71.05517909002904
30051,2008,36.663336663336665,59.34065934065934
30051,2012,26.01214574898785,71.05263157894737
30051,2016,21.436004162330903,72.63267429760666
30051,2020,22.99168975069252,75.80794090489381
30053,2000,20.76217180729034,71.09355085393831
30053,2004,27.46537232153427,69.71705931099798
30053,2008,32.78422022325783,61.81857591850005
30053,2012,28.70964112948588,68.14039824502194
30053,2016,21.875669882100752,72.12218649517685
30053,2020,24.13382140120882,73.82310377117562
30055,2000,23.380035026269702,72.4168126094571
30055,2004,28.144239226033424,69.56904133685137
30055,2008,29.023508137432184,65.64195298372513
30055,2012,22.457200402819737,75.02517623363545
30055,2016,14.528301886792452,81.32075471698114
30055,2020,13.741134751773048,84.75177304964538
30057,2000,20.733041575492344,72.64770240700219
30057,2004,24.993643529112635,72.92143401983219
30057,2008,35.17950963222417,61.77758318739054
30057,2012,28.454746136865346,69.09492273730685
30057,2016,24.696525742988698,69.00376726663876
30057,2020,29.094792180055855,68.85165105963529
30059,2000,18.823529411764707,74.6524064171123
30059,2004,25.38540596094553,71.73689619732785
30059,2008,30.848861283643892,64.59627329192547
30059,2012,27.674897119341562,68.93004115226337
30059,2016,19.75435005117707,74.61617195496417
30059,2020,23.243243243243246,75.04504504504504
30061,2000,23.306894447834043,65.77181208053692
30061,2004,29.50462710941753,67.61023407729995
30061,2008,41.81098466105888,52.10291934685799
30061,2012,34.705007436787305,60.28755577590481
30061,2016,25.795228628230614,66.10337972166998
30061,2020,26.765509168942646,71.32266874756145
30063,2000,37.016918584678805,46.1052902782549
